accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
DQ525714.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Georgia: Rabun County: Black Rock Mountain,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I6b,symbiont of Cryptocercus punctulatus,NA,"USA: Black Rock Mountain, Rabun Co., GA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
DQ525715.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Saccinobaculidae,Saccinobaculus,Saccinobaculus,Saccinobaculus ambloaxostylus,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,36984,Cryptocercus punctulatus,USA: Georgia: Rabun County: Black Rock Mountain,The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)",Saccinobaculus ambloaxostylus,I6c,symbiont of Cryptocercus punctulatus,NA,"USA: Black Rock Mountain, Rabun Co., GA",The phylogenetic position of the oxymonad Saccinobaculus based on SSU rRNA,"Heiss,A.A. and Keeling,P.J.","Protist 157 (3), 335-344 (2006)"
FM160647.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. GhImp29,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,529878,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)",Incisitermes marginipennis oxymonad symbiont clone GhImp29,GhImp29,NA,Incisitermes marginipennis,NA,The true diversity of devescovinid flagellates in the termite Incisitermes marginipennis,"Strassert,J.F., Desai,M.S., Brune,A. and Radek,R.","Protist 160 (4), 522-535 (2009)"
HM125129.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha parva Rc3,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc3,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125130.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc4,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc4,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125131.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. Rc5,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Pyrsonympha sp. Rc5,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125132.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc7,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc7,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125133.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc8,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc8,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125134.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. Rc13,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Pyrsonympha sp. Rc13,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125135.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc19,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc19,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125136.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc23,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc23,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125137.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc35,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc35,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125138.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha,Pyrsonympha sp. Rc42,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Pyrsonympha sp. Rc42,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
HM125139.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Dinenympha,Dinenympha,Dinenympha sp. Rc52,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,141911,Reticulitermes chinensis,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)",Dinenympha sp. Rc52,NA,NA,NA,NA,Phylogenetic diversity analysis and in situ hybridization of symbiotic Oxymonad flagellates in the hindgut of Reticulitermes chinensis Snyder,"Chen,W., Shi,Y., Peng,J., Hong,H. and Yang,H.","Sheng Tai Xue Bao 31, 5332-5340 (2011)"
JN120064.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,environmental,waste water (ENVO:00002001),sewage treatment plant (ENVO missing),free-living,NA,NA,China: Hebei,Microbial community compositional analysis for series reactors treating high level antibiotic wastewater,"Deng,Y., Zhang,Y., Gao,Y., Li,D., Liu,R., Liu,M., Zhang,H., Hu,B., Yu,T. and Yang,M.","Environ. Sci. Technol. 46 (2), 795-801 (2012)",uncultured eukaryote,BF2-67,biological wastewater systems treating antibiotics production wastewater,NA,China: Hebei,Microbial community compositional analysis for series reactors treating high level antibiotic wastewater,"Deng,Y., Zhang,Y., Gao,Y., Li,D., Liu,R., Liu,M., Zhang,H., Hu,B., Yu,T. and Yang,M.","Environ. Sci. Technol. 46 (2), 795-801 (2012)"
KJ399550.2,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. ItaOx1,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,367367,Incisitermes tabogae,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Oxymonas sp. ItaOx1,ItaOx1,NA,Incisitermes tabogae,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KJ399551.2,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. ItaOx61,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,367367,Incisitermes tabogae,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Oxymonas sp. ItaOx61,ItaOx61,NA,Incisitermes tabogae,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KJ399552.2,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas,Oxymonas sp. ItaOx8,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,367367,Incisitermes tabogae,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Oxymonas sp. ItaOx8,ItaOx8,NA,Incisitermes tabogae,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KJ399553.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Opisthomitus,Opisthomitus,Opisthomitus longiflagellatus,Opisthomitus longiflagellatus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Fort Lauderdale,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Opisthomitus longiflagellatus,NjOx22,NA,Neotermes jouteli,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KJ399554.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Oxymonadidae,Oxymonas,Oxymonas jouteli,Oxymonas jouteli,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Fort Lauderdale,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Oxymonas jouteli,NjOx23,NA,Neotermes jouteli,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KJ399555.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Opisthomitus,Opisthomitus,Opisthomitus longiflagellatus,Opisthomitus longiflagellatus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Fort Lauderdale,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Opisthomitus longiflagellatus,NjOx24,NA,Neotermes jouteli,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KJ399556.2,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Opisthomitus,Opisthomitus,Opisthomitus longiflagellatus,Opisthomitus longiflagellatus,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,641614,Neotermes jouteli,USA: Florida: Fort Lauderdale,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)",Opisthomitus longiflagellatus,NjOx25,NA,Neotermes jouteli,NA,"Phylogeny and Ultrastructure of Oxymonas jouteli, a Rostellum-free Species, and Opisthomitus longiflagellatus sp. nov., Oxymonadid Flagellates from the Gut of Neotermes jouteli","Radek,R., Strassert,J.F., Kruger,J., Meuser,K., Scheffrahn,R.H. and Brune,A.","Protist 165 (3), 384-399 (2014)"
KT380017.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Trimastigidae,Trimastigidae,Trimastix,Trimastix marina,Trimastix marina,isolate,sediment (ENVO:00002007),marine benthic biome (ENVO:01000024),free-living, ,NA,USA: Massachusetts: Marstons Mills: Prince Cove,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Trimastix marina,NA,NA,NA,"USA: Prince Cove, Massachusetts","Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388042.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,isolate,sediment (ENVO:00002007),freshwater biome (ENVO:00000873),free-living, ,NA,Indonesia: Bali,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix pyriformis,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388043.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,isolate,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living, ,NA,Czech Republic: Cizov,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix pyriformis,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388044.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix eleionoma,Paratrimastix eleionoma,isolate,sediment (ENVO:00002007),freshwater biome (ENVO:00000873),free-living, ,NA,Venezuela: Coromoto lagoon,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix eleionoma,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388045.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix eleionoma,Paratrimastix eleionoma,isolate,sediment (ENVO:00002007),freshwater biome (ENVO:00000873),free-living, ,NA,Venezuela: El Suero lagoon,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix eleionoma,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388046.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,isolate,sediment (ENVO:00002007),freshwater biome (ENVO:00000873),free-living, ,NA,India: Bhangarh,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix pyriformis,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388047.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,isolate,fresh water (ENVO:00002011),freshwater river biome (ENVO:01000253),free-living, ,NA,India: Bhangarh,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix pyriformis,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388048.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix pyriformis,Paratrimastix pyriformis,isolate,sediment (ENVO:00002007),freshwater biome (ENVO:00000873),free-living, ,NA,Turkey: Kizillar,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix pyriformis,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
KT388049.1,Eukaryota,Excavata,Metamonada,Preaxostyla,Paramastigidae,Paramastigidae,Paratrimastix,Paratrimastix eleionoma,Paratrimastix eleionoma,isolate,sediment (ENVO:00002007),freshwater biome (ENVO:00000873),free-living, ,NA,Canada: Ontario: Bon Echo Provincial Park,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)",Paratrimastix eleionoma,NA,NA,NA,NA,"Marine Isolates of Trimastix marina Form a Plesiomorphic Deep-branching Lineage within Preaxostyla, Separate from Other Known Trimastigids (Paratrimastix n. gen.)","Zhang,Q., Taborsky,P., Silberman,J.D., Panek,T., Cepicka,I. and Simpson,A.G.","Protist 166 (4), 468-491 (2015)"
