accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_gb,host_taxonomy,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
GU827604,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,anaerobic sediment (ENVO:00002045),deep marine sediment (ENVO:00002113),free-living,NA,NA,NA,Japan: Sagami Bay,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,NY0173,deep see anoxic sediments,NA,Japan: Sagami Bay,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827601,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,KR7,littoral marine sediments,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827600,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,KR4,littoral marine sediments,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827603,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Japan: Ishigaki island,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Carpediemonas sp.,NY0171,littoral marine sediments,NA,Japan: Ishigaki island,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827605,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Japan: Kagoshima,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,NY0166,littoral marine sediments,NA,Japan: Kagoshima,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827588,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,detritus (ENVO:01001103),marine biome (ENVO:00000447),free-living,NA,NA,NA,USA: Apalachee bay,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,GSLM,Detritus in shipment od sea urchins,NA,USA: Apalachee bay,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827589,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,USA: Massachusetts: Prince cove ,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Carpediemonas sp.,PCE,littoral marine sediments,NA,"USA: Massachusetts, Prince cove ",A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
GU827602,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Kipferlia bialata,isolate,sediment (ENVO:00002007),marine littoral zone (ENVO:01000125),free-living,NA,NA,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)",Kipferlia bialata,KR8,littoral marine sediments,NA,Greece: Adelianos Kampos,A wide diversity of previously undetected free-living relatives of diplomonads isolated from marine/saline habitats,"Kolisko,M., Silberman,J.D., Cepicka,I., Yubuki,N., Takishita,K., Yabuki,A., Leander,B.S., Inouye,I., Inagaki,Y., Roger,A.J. and Simpson,A.G.","Environ. Microbiol. 12 (10), 2700-2710 (2010)"
U20351,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia sp.,isolate,gut environment (ENVO:missing),small intestine (UBERON:0002108),parasite,100857,Threskiornis spinicollis,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊSauropsida;ÊSauria;ÊArchelosauria;ÊArchosauria;ÊDinosauria;ÊSaurischia;ÊTheropoda;ÊCoelurosauria;ÊAves;ÊNeognathae;ÊPelecaniformes;ÊThreskiornithidae;ÊThreskiornis,Australia: Western Australia,Morphological and molecular characterization of Giardia isolated from the straw-necked ibis (Threskiornis spinicollis) in Western Australia,"McRoberts,K.M., Meloni,B.P., Morgan,U.M., Marano,R., Binz,N., Eriandsen,S.L., Halse,S.A. and Thompson,R.C.","J. Parasitol. 82 (5), 711-718 (1996)",Giardia sp.,pRM 025,small intetsine,Threskiornis spinicollis,Western Australia,Morphological and molecular characterization of Giardia isolated from the straw-necked ibis (Threskiornis spinicollis) in Western Australia,"McRoberts,K.M., Meloni,B.P., Morgan,U.M., Marano,R., Binz,N., Eriandsen,S.L., Halse,S.A. and Thompson,R.C.","J. Parasitol. 82 (5), 711-718 (1996)"
AF015455,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,Trepomonas agilis,isolate,sediment (ENVO:00002007),fresh water aquarium (ENVO:00002198),free-living,NA,NA,NA,USA: Maryland: Rockville,Long branch attraction effects and the status of 'basal eukaryotes': phylogeny and structural analysis of the ribosomal RNA gene cluster of the free-living diplomonad Trepomonas agilis,"Morin,L.","J. Eukaryot. Microbiol. 47 (2), 167-177 (2000)",Trepomonas agilis,"RCP-1, ATCC5086",Freshwater aquarium at pet store,NA,"USA: Rockville, MD",Long branch attraction effects and the status of 'basal eukaryotes': phylogeny and structural analysis of the ribosomal RNA gene cluster of the free-living diplomonad Trepomonas agilis,"Morin,L.","J. Eukaryot. Microbiol. 47 (2), 167-177 (2000)"
FJ628363,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Hicanonectes teleskopos,isolate,anaerobic intertidal sediment (ENVO missing),marine benthic biome (ENVO:01000024),free-living,NA,NA,NA,Canada: British Columbia: Salt Spring Island,"Light microscopic observations, ultrastructure, and molecular phylogeny of Hicanonectes teleskopos n. g., n. sp., a deep-branching relative of diplomonads","Park,J.S., Kolisko,M., Heiss,A.A. and Simpson,A.G.","J. Eukaryot. Microbiol. 56 (4), 373-384 (2009)",Hicanonectes teleskopos,SB,anoxic marine intertidal sedimen from sheltered embayment,NA,"Canada: British Columbia, Salt Spring Island","Light microscopic observations, ultrastructure, and molecular phylogeny of Hicanonectes teleskopos n. g., n. sp., a deep-branching relative of diplomonads","Park,J.S., Kolisko,M., Heiss,A.A. and Simpson,A.G.","J. Eukaryot. Microbiol. 56 (4), 373-384 (2009)"
DQ098931,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,culture,gut environment (ENVO:missing),human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo,USA: Maryland: Bethesda,Characterisation of the subtelomeric regions of Giardia lamblia genome isolate WBC6,"Prabhu,A., Morrison,H.G., Martinez,C.R. III and Adam,R.D.","Int. J. Parasitol. 37 (5), 503-513 (2007)",Giardia intestinalis,"EJ7728, ATCC50803",Duodenal aspirate from human,Homo sapiens,USA: Betseda: MD,Characterisation of the subtelomeric regions of Giardia lamblia genome isolate WBC6,"Prabhu,A., Morrison,H.G., Martinez,C.R. III and Adam,R.D.","Int. J. Parasitol. 37 (5), 503-513 (2007)"
AF439347,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonas sp.,culture,NA,animal-associated environment (ENVO:01001002),parasite,43471,Dendrobates auratus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmphibia;ÊBatrachia;ÊAnura;ÊNeobatrachia;ÊHyloidea;ÊDendrobatidae;ÊDendrobatinae;ÊDendrobates,NA,Retortamonad flagellates are closely related to diplomonads--implications for the history of mitochondrial function in eukaryote evolution,"Silberman,J.D., Simpson,A.G., Kulda,J., Cepicka,I., Hampl,V., Johnson,P.J. and Roger,A.J.","Mol. Biol. Evol. 19 (5), 777-786 (2002)",Retortamonas sp.,ATCC 50375,NA,Dendrobates auratus,NA,Retortamonad flagellates are closely related to diplomonads--implications for the history of mitochondrial function in eukaryote evolution,"Silberman,J.D., Simpson,A.G., Kulda,J., Cepicka,I., Hampl,V., Johnson,P.J. and Roger,A.J.","Mol. Biol. Evol. 19 (5), 777-786 (2002)"
AF439344,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonas sp.,culture,NA,mammalia-associated environment (ENVO missing),parasite,9925,Capra hircus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCetartiodactyla;ÊRuminantia;ÊPecora;ÊBovidae;ÊCaprinae;ÊCapra,NA,Retortamonad flagellates are closely related to diplomonads--implications for the history of mitochondrial function in eukaryote evolution,"Silberman,J.D., Simpson,A.G., Kulda,J., Cepicka,I., Hampl,V., Johnson,P.J. and Roger,A.J.","Mol. Biol. Evol. 19 (5), 777-786 (2002)",Retortamonas sp.,KOZA,NA,Capra hircus,NA,Retortamonad flagellates are closely related to diplomonads--implications for the history of mitochondrial function in eukaryote evolution,"Silberman,J.D., Simpson,A.G., Kulda,J., Cepicka,I., Hampl,V., Johnson,P.J. and Roger,A.J.","Mol. Biol. Evol. 19 (5), 777-786 (2002)"
AF439348,Eukaryota,Excavata,Metamonada,Fornicata,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonadidae,Retortamonas sp.,isolate,NA,animal-associated environment (ENVO:01001002),parasite,141262,Andrias davidianus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmphibia;ÊBatrachia;ÊCaudata;ÊCryptobranchoidea;ÊCryptobranchidae;ÊAndrias,NA,Retortamonad flagellates are closely related to diplomonads--implications for the history of mitochondrial function in eukaryote evolution,"Silberman,J.D., Simpson,A.G., Kulda,J., Cepicka,I., Hampl,V., Johnson,P.J. and Roger,A.J.","Mol. Biol. Evol. 19 (5), 777-786 (2002)",Retortamonas sp.,VALE,NA,Andrias davidianus,NA,Retortamonad flagellates are closely related to diplomonads--implications for the history of mitochondrial function in eukaryote evolution,"Silberman,J.D., Simpson,A.G., Kulda,J., Cepicka,I., Hampl,V., Johnson,P.J. and Roger,A.J.","Mol. Biol. Evol. 19 (5), 777-786 (2002)"
AY117416,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas membranifera,culture,anaerobic sediment (ENVO:00002045),marine benthic biome (ENVO:01000024),free-living,NA,NA,NA,Australia: Quibray Bay,Evolutionary history of 'early-diverging' eukaryotes: the excavate taxon Carpediemonas is a close relative of Giardia,"Simpson,A.G., Roger,A.J., Silberman,J.D., Leipe,D.D., Edgcomb,V.P., Jermiin,L.S., Patterson,D.J. and Sogin,M.L.","Mol. Biol. Evol. 19 (10), 1782-1791 (2002)",Carpediemonas membranifera,,NA,NA,Australia: Quibray Bay,Evolutionary history of 'early-diverging' eukaryotes: the excavate taxon Carpediemonas is a close relative of Giardia,"Simpson,A.G., Roger,A.J., Silberman,J.D., Leipe,D.D., Edgcomb,V.P., Jermiin,L.S., Patterson,D.J. and Sogin,M.L.","Mol. Biol. Evol. 19 (10), 1782-1791 (2002)"
M54878,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,NA,parasite,NA,NA,NA,NA,Phylogenetic meaning of the kingdom concept: an unusual ribosomal RNA from Giardia lamblia,"Sogin,M.L., Gunderson,J.H., Elwood,H.J., Alonso,R.A. and Peattie,D.A.","Science 243 (4887), 75-77 (1989)",Giardia intestinalis,PORTLAND 1,NA,NA,NA,Phylogenetic meaning of the kingdom concept: an unusual ribosomal RNA from Giardia lamblia,"Sogin,M.L., Gunderson,J.H., Elwood,H.J., Alonso,R.A. and Peattie,D.A.","Science 243 (4887), 75-77 (1989)"
EF100339,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic intertidal sediment (ENVO missing),marine benthic biome (ENVO:01000024),free-living,NA,NA,NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished,uncultured eukaryote,D4P07C07,"oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface",NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished
EF100197,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Hexamitinae,Hexamitinae,Hexamitinae,Hexamitinae,uncultured eukaryote,environmental,anaerobic intertidal sediment (ENVO missing),marine benthic biome (ENVO:01000024),free-living,NA,NA,NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished,uncultured eukaryote,D1P02G08,"oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface",NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished
EF100342,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,anaerobic intertidal sediment (ENVO missing),marine benthic biome (ENVO:01000024),free-living,NA,NA,NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished,uncultured eukaryote,D4P08H08,"oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface",NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished
EF100347,Eukaryota,Excavata,Metamonada,Fornicata,Caviomonadidae,Caviomonadidae,Caviomonadidae,Caviomonadidae,Caviomonadidae,uncultured eukaryote,environmental,anaerobic intertidal sediment (ENVO missing),marine benthic biome (ENVO:01000024),free-living,NA,NA,NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished,uncultured eukaryote,D4P08A09,"oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface",NA,Greenland: Arctic,Protistan diversity at the top of the world,"Stoeck,T., Kasper,J., Bunge,J., Ilyin,V., Leslin,C. and Epstein,S.",Unpublished
AB275112,Eukaryota,Excavata,Metamonada,Fornicata,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,Carpediemonas-like organisms,uncultured eukaryote,environmental,sediment (ENVO:00002007),marine cold seep (ENVO:01000127),free-living,NA,NA,NA,Japan: Sagami Bay,Diversity of microbial eukaryotes in sediment at a deep-sea methane cold seep: surveys of ribosomal DNA libraries from raw sediment samples and two enrichment cultures,"Takishita,K., Yubuki,N., Kakizoe,N., Inagaki,Y. and Maruyama,T.","Extremophiles 11 (4), 563-576 (2007)",uncultured eukaryote,CPSGM-5,methane cold seep sediment of Sagami Bay,NA,Japan: Sagami Bay,Diversity of microbial eukaryotes in sediment at a deep-sea methane cold seep: surveys of ribosomal DNA libraries from raw sediment samples and two enrichment cultures,"Takishita,K., Yubuki,N., Kakizoe,N., Inagaki,Y. and Maruyama,T.","Extremophiles 11 (4), 563-576 (2007)"
AF199443,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9612,Canis lupus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCarnivora;ÊCaniformia;ÊCanidae;ÊCanis;ÊCanis lupus,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,Dog6,NA,Canis lupus,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
AF199444,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9685,Felis catus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCarnivora;ÊFeliformia;ÊFelidae;ÊFelinae;ÊFelis,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,Bac7,NA,Felis catus,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
AF199446,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,BAH40c11,NA,Homo sapiens,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
AF199447,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,BAH12c14,NA,Homo sapiens,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
